age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,incom
0-100,Have-worked,77516,Educated,13-16,*,*,Not-in-family,*,Male,2174,0,40, United-States, <=50k
0-100,Have-worked,83311,Educated,13-16,*,*,Have-family,*,Male,0,0,13, United-States, <=50k
0-100,*,215646,Educated,1-12,*,*,Not-in-family,*,Male,0,0,40, United-States, <=50k
0-100,*,234721,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,338409,Educated,13-16,*,*,Have-family,*,Female,0,0,40, Cuba, <=50k
0-100,*,284582,Educated,13-16,*,*,Have-family,*,Female,0,0,40, United-States, <=50k
0-100,*,160187,Educated,1-12,*,*,Not-in-family,*,Female,0,0,16, Jamaica, <=50k
0-100,Have-worked,209642,Educated,1-12,*,*,Have-family,*,Male,0,0,45, United-States, >50k
0-100,*,45781,Educated,13-16,*,*,Not-in-family,*,Female,14084,0,50, United-States, >50k
0-100,*,159449,Educated,13-16,*,*,Have-family,*,Male,5178,0,40, United-States, >50k
0-100,*,280464,Educated,1-12,*,*,Have-family,*,Male,0,0,80, United-States, >50k
0-100,Have-worked,141297,Educated,13-16,*,*,Have-family,*,Male,0,0,40, India, >50k
0-100,*,122272,Educated,13-16,*,*,Have-family,*,Female,0,0,30, United-States, <=50k
0-100,*,205019,Educated,1-12,*,*,Not-in-family,*,Male,0,0,50, United-States, <=50k
0-100,*,121772,Educated,1-12,*,*,Have-family,*,Male,0,0,40, ?, >50k
0-100,*,245487,Educated,1-12,*,*,Have-family,*,Male,0,0,45, Mexico, <=50k
0-100,Have-worked,176756,Educated,1-12,*,*,Have-family,*,Male,0,0,35, United-States, <=50k
0-100,*,186824,Educated,1-12,*,*,Unmarried,*,Male,0,0,40, United-States, <=50k
0-100,*,28887,Educated,1-12,*,*,Have-family,*,Male,0,0,50, United-States, <=50k
0-100,Have-worked,292175,Educated,13-16,*,*,Unmarried,*,Female,0,0,45, United-States, >50k
0-100,*,193524,Educated,13-16,*,*,Have-family,*,Male,0,0,60, United-States, >50k
0-100,*,302146,Educated,1-12,*,*,Unmarried,*,Female,0,0,20, United-States, <=50k
0-100,Have-worked,76845,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,117037,Educated,1-12,*,*,Have-family,*,Male,0,2042,40, United-States, <=50k
0-100,*,109015,Educated,1-12,*,*,Unmarried,*,Female,0,0,40, United-States, <=50k
0-100,Have-worked,216851,Educated,13-16,*,*,Have-family,*,Male,0,0,40, United-States, >50k
0-100,*,168294,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,180211,Educated,1-12,*,*,Have-family,*,Male,0,0,60, South, >50k
0-100,*,367260,Educated,1-12,*,*,Not-in-family,*,Male,0,0,80, United-States, <=50k
0-100,*,193366,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,Have-worked,190709,Educated,1-12,*,*,Not-in-family,*,Male,0,0,52, United-States, <=50k
0-100,*,266015,Educated,1-12,*,*,Have-family,*,Male,0,0,44, United-States, <=50k
0-100,*,386940,Educated,13-16,*,*,Have-family,*,Male,0,1408,40, United-States, <=50k
0-100,Have-worked,59951,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,Have-worked,311512,Educated,1-12,*,*,Have-family,*,Male,0,0,15, United-States, <=50k
0-100,*,242406,Educated,1-12,*,*,Unmarried,*,Male,0,0,40, Puerto-Rico, <=50k
0-100,*,197200,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,544091,Educated,1-12,*,*,Have-family,*,Female,0,0,25, United-States, <=50k
0-100,*,84154,Educated,1-12,*,*,Have-family,*,Male,0,0,38, ?, >50k
0-100,Have-worked,265477,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,507875,Educated,1-12,*,*,Have-family,*,Male,0,0,43, United-States, <=50k
0-100,Have-worked,88506,Educated,13-16,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,172987,Educated,13-16,*,*,Have-family,*,Male,0,0,50, United-States, <=50k
0-100,*,94638,Educated,1-12,*,*,Unmarried,*,Female,0,0,40, United-States, <=50k
0-100,*,289980,Educated,1-12,*,*,Not-in-family,*,Male,0,0,35, United-States, <=50k
0-100,Have-worked,337895,Educated,13-16,*,*,Have-family,*,Male,0,0,40, United-States, >50k
0-100,*,144361,Educated,1-12,*,*,Have-family,*,Male,0,0,38, United-States, <=50k
0-100,*,128354,Educated,13-16,*,*,Unmarried,*,Female,0,0,40, United-States, <=50k
0-100,Have-worked,101603,Educated,1-12,*,*,Have-family,*,Male,0,0,40, United-States, <=50k
0-100,*,271466,Educated,1-12,*,*,Not-in-family,*,Male,0,0,43, United-States, <=50k
0-100,*,32275,Educated,1-12,*,*,Have-family,*,Female,0,0,40, United-States, <=50k
0-100,*,226956,Educated,1-12,*,*,Have-family,*,Female,0,0,30, ?, <=50k
