age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,incom
25-50, State-gov,77516,UndergradSchool,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50k
50-75, Self-emp-not-inc,83311,UndergradSchool,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States, <=50k
25-50, Private,215646,HighSchool,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50k
50-75, Private,234721,HighSchool,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50k
25-50, Private,338409,UndergradSchool,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50k
25-50, Private,284582,GradSchool,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50k
25-50, Private,160187,MiddleSchool,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica, <=50k
50-75, Self-emp-not-inc,209642,HighSchool,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50k
25-50, Private,45781,GradSchool,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50k
25-50, Private,159449,UndergradSchool,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50k
25-50, Private,280464,VocDegree,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50k
25-50, State-gov,141297,UndergradSchool,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50k
0-25, Private,122272,UndergradSchool,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50k
25-50, Private,205019,UndergradSchool,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50k
25-50, Private,121772,VocDegree,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?, >50k
