age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,incom
0-50, State-gov,77516,ProfSchool,13,NeverMarried, Adm-clerical, Not-in-family,Occident, Male,2174,0,40, United-States, <=50k
0-50, Private,94235,ProfSchool,13,NeverMarried, Craft-repair, Unmarried,Occident, Male,0,0,40, United-States, <=50k
0-50, Private,195744,ProfSchool,13,NeverMarried, Other-service, Not-in-family,Occident, Male,0,0,48, United-States, <=50k
0-50, Private,81896,ProfSchool,13,NeverMarried, Prof-specialty, Not-in-family,Occident, Female,0,0,45, United-States, <=50k
0-50, Private,45781,ProfSchool,14,NeverMarried, Prof-specialty, Not-in-family,Occident, Female,14084,0,50, United-States, >50k
0-50, Self-emp-not-inc,172047,ProfSchool,12,NeverMarried, Craft-repair, Own-child,Occident, Male,0,0,40, United-States, <=50k
0-50, Private,189265,ProfSchool,13,NeverMarried, Exec-managerial, Not-in-family,Occident, Female,0,0,40, United-States, <=50k
0-50, Private,238329,ProfSchool,13,NeverMarried, Sales, Not-in-family,Occident, Female,0,0,45, United-States, <=50k
0-50, Private,199915,ProfSchool,13,NeverMarried, Adm-clerical, Own-child,Occident, Female,0,0,35, United-States, <=50k
0-50, Private,122272,ProfSchool,13,NeverMarried, Adm-clerical, Own-child,Occident, Female,0,0,30, United-States, <=50k
0-50, Private,289748,ProfSchool,13,NeverMarried, Exec-managerial, Not-in-family,Occident, Female,4650,0,48, United-States, <=50k
0-50, Private,196342,ProfSchool,16,NeverMarried, Prof-specialty, Not-in-family,Occident, Male,0,0,40, United-States, >50k
0-50, Private,284531,ProfSchool,13,NeverMarried, Sales, Not-in-family,Occident, Female,0,0,40, United-States, <=50k
0-50, Local-gov,161942,ProfSchool,13,NeverMarried, Adm-clerical, Not-in-family,Occident, Female,1055,0,40, United-States, <=50k
0-50, Self-emp-inc,142444,ProfSchool,13,NeverMarried, Prof-specialty, Not-in-family,Occident, Female,0,0,45, United-States, <=50k
0-50, Private,190539,ProfSchool,13,NeverMarried, Sales, Not-in-family,Occident, Male,6849,0,48, United-States, <=50k
0-50, Private,511331,ProfSchool,13,NeverMarried, Sales, Not-in-family,Occident, Male,0,0,38, United-States, <=50k
0-50, Private,126754,ProfSchool,13,NeverMarried, Exec-managerial, Not-in-family,Occident, Male,0,0,45, United-States, >50k
0-50, ?,190303,ProfSchool,12,NeverMarried, ?, Other-relative,Occident, Male,0,0,40, United-States, <=50k
0-50, Local-gov,190709,ProfSchool,12,NeverMarried, Protective-serv, Not-in-family,Occident, Male,0,0,52, United-States, <=50k
0-50, Private,202344,ProfSchool,13,NeverMarried, Prof-specialty, Own-child,Occident, Female,0,0,40, United-States, <=50k
0-50, Self-emp-not-inc,343721,ProfSchool,16,NeverMarried, Prof-specialty, Not-in-family,Occident, Male,0,0,30, ?, >50k
0-50, Local-gov,117833,ProfSchool,13,NeverMarried, Prof-specialty, Not-in-family,Occident, Female,4865,0,35, United-States, <=50k
