age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,incom
0-50,Public,77516,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Male,2174,0,40, United-States, <=50k
0-50,Public,174215,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,60, United-States, <=50k
0-50,Public,154410,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Male,0,0,40, United-States, <=50k
0-50,Public,326033,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,80, United-States, <=50k
0-50,Public,190368,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,70, United-States, <=50k
0-50,Public,178564,ProfSchool,13-16,NonMarried,*, Other-relative,Occident, Male,0,0,40, United-States, <=50k
0-50,Public,295010,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,60, United-States, >50k
0-50,Public,161942,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,1055,0,40, United-States, <=50k
0-50,Public,142444,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,45, United-States, <=50k
0-50,Public,168387,ProfSchool,13-16,NonMarried,*, Own-child,Occident, Male,0,0,40, United-States, <=50k
0-50,Public,322658,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,40, United-States, <=50k
0-50,Public,55890,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,40, United-States, <=50k
0-50,Public,143547,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,40, United-States, <=50k
0-50,Public,46537,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Female,0,0,40, United-States, <=50k
0-50,Public,204984,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Male,0,0,45, United-States, <=50k
0-50,Public,343721,ProfSchool,13-16,NonMarried,*, Not-in-family,Occident, Male,0,0,30, ?, >50k
